Titulo;Subtitulo;Link
"Pagers foram detonados em intervalo de 1 hora; vídeo mostra";;https://g1.globo.com/mundo/noticia/2024/09/17/centenas-de-integrantes-do-hezbollah-ficam-feridos-no-libano-com-explosao-de-pagers.ghtml
GUGA: 'Ataque por pagers é humilhante para o Hezbollah';;https://g1.globo.com/globonews/globonewsmais/video/ataque-por-pagers-e-humilhante-para-o-hezbollah-diz-guga-chacra-12929970.ghtml
Brasil não está preparado para lidar com eventos climáticos extremos;;https://g1.globo.com/politica/noticia/2024/09/17/lula-diz-que-queimadas-parecem-provocacao-e-que-brasil-nao-esta-100percent-pronto-para-lidar-com-eventos-extremos.ghtml
1º debate após cadeirada em SP tem gritaria em embate Nunes x Marçal;;https://g1.globo.com/sp/sao-paulo/eleicoes/2024/noticia/2024/09/17/apos-cadeirada-debate-para-prefeitura-de-sp-tem-novas-brigas-e-gritaria-em-meio-a-acusacoes.ghtml
Rock in Rio: as bandas mais lembradas no ranking de melhores shows;;https://g1.globo.com/pop-arte/musica/rock-in-rio/2024/noticia/2024/09/17/guns-e-sepultura-sao-as-bandas-com-mais-shows-na-lista-de-melhores-da-historia-do-rock-in-rio.ghtml
'Não fomos perfeitos, especialmente eu', diz vocalista do Journey após críticas;;https://g1.globo.com/pop-arte/musica/rock-in-rio/2024/noticia/2024/09/17/nao-fomos-perfeitos-especialmente-eu-diz-vocalista-do-journey-apos-show-no-rock-in-rio.ghtml
Perdeu algo do Rock in Rio? Assista aqui aos melhores momentos;;https://g1.globo.com/pop-arte/musica/rock-in-rio/2024/playlist/rock-in-rio-2024-veja-melhores-momentos-do-primeiro-fim-de-semana.ghtml
"Candidatos de Jaboatão (PE) debatem no g1; veja como foi";;https://g1.globo.com/pe/pernambuco/eleicoes/2024/noticia/2024/09/17/debate-para-a-prefeitura-de-jaboatao.ghtml
